time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1464	1.28676	5.20806	0.186296	0.129139	radar	1.22589	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3706	1.38728	5.18209	0.216393	0.152145	lidar	0.655811	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6183	1.44702	5.16678	0.226173	0.154618	radar	1.49615	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8459	1.48992	5.13965	0.228697	0.149887	lidar	0.527057	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1014	1.54916	5.14613	0.23586	0.149522	radar	0.442534	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3934	1.6048	5.18892	0.238544	0.144829	lidar	1.37373	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.638	1.66709	5.17663	0.246553	0.14576	radar	0.376002	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8684	1.73959	5.15773	0.258453	0.150049	lidar	0.29302	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1206	1.80683	5.16408	0.265735	0.14971	radar	0.12325	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3638	1.84603	5.15196	0.262705	0.140495	lidar	0.184461	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.614	1.91303	5.15743	0.269134	0.139807	radar	0.164276	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8083	2.05415	5.11963	0.306225	0.166598	lidar	2.0672	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0611	2.13249	5.13609	0.313417	0.16514	radar	0.747538	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
